Career,Name," ""Team"""," ""Position"""," ""Height(inches)"""," ""Weight(lbs)"""," ""Age"""
MEC,Adam Donachie," ""BAL"""," ""Catcher""",74,180,22.99
MEC,Paul Bako," ""BAL"""," ""Catcher""",74,215,34.69
MEC,Ramon Hernandez," ""BAL"""," ""Catcher""",72,210,30.78
MEC,Kevin Millar," ""BAL"""," ""First Baseman""",72,210,35.43
MEC,Chris Gomez," ""BAL"""," ""First Baseman""",73,188,35.71
MEC,Brian Roberts," ""BAL"""," ""Second Baseman""",69,176,29.39
MEC,Miguel Tejada," ""BAL"""," ""Shortstop""",69,209,30.77
MEC,Melvin Mora," ""BAL"""," ""Third Baseman""",71,200,35.07
MEC,Aubrey Huff," ""BAL"""," ""Third Baseman""",76,231,30.19
MEC,Adam Stern," ""BAL"""," ""Outfielder""",71,180,27.05
MEC,Jeff Fiorentino," ""BAL"""," ""Outfielder""",73,188,23.88
MEC,Freddie Bynum," ""BAL"""," ""Outfielder""",73,180,26.96
MEC,Nick Markakis," ""BAL"""," ""Outfielder""",74,185,23.29
MEC,Brandon Fahey," ""BAL"""," ""Outfielder""",74,160,26.11
MEC,Corey Patterson," ""BAL"""," ""Outfielder""",69,180,27.55
MEC,Jay Payton," ""BAL"""," ""Outfielder""",70,185,34.27
MEC,Jay Gibbons," ""BAL"""," ""Designated Hitter""",72,197,30
MEC,Erik Bedard," ""BAL"""," ""Starting Pitcher""",73,189,27.99
MEC,Hayden Penn," ""BAL"""," ""Starting Pitcher""",75,185,22.38
MEC,Adam Loewen," ""BAL"""," ""Starting Pitcher""",78,219,22.89
MEC,Daniel Cabrera," ""BAL"""," ""Starting Pitcher""",79,230,25.76
MEC,Steve Trachsel," ""BAL"""," ""Starting Pitcher""",76,205,36.33
MEC,Jaret Wright," ""BAL"""," ""Starting Pitcher""",74,230,31.17
MEC,Kris Benson," ""BAL"""," ""Starting Pitcher""",76,195,32.31
MEC,Scott Williamson," ""BAL"""," ""Relief Pitcher""",72,180,31.03
MEC,John Parrish," ""BAL"""," ""Relief Pitcher""",71,192,29.26
MEC,Danys Baez," ""BAL"""," ""Relief Pitcher""",75,225,29.47
MEC,Chad Bradford," ""BAL"""," ""Relief Pitcher""",77,203,32.46
MEC,Jamie Walker," ""BAL"""," ""Relief Pitcher""",74,195,35.67
MEC,Brian Burres," ""BAL"""," ""Relief Pitcher""",73,182,25.89
MEC,Kurt Birkins," ""BAL"""," ""Relief Pitcher""",74,188,26.55
MEC,James Hoey," ""BAL"""," ""Relief Pitcher""",78,200,24.17
MEC,Sendy Rleal," ""BAL"""," ""Relief Pitcher""",73,180,26.69
MEC,Chris Ray," ""BAL"""," ""Relief Pitcher""",75,200,25.13
MEC,Jeremy Guthrie," ""BAL"""," ""Relief Pitcher""",73,200,27.9
MEC,A.J. Pierzynski," ""CWS"""," ""Catcher""",75,245,30.17
MEC,Toby Hall," ""CWS"""," ""Catcher""",75,240,31.36
MEC,Paul Konerko," ""CWS"""," ""First Baseman""",74,215,30.99
MEC,Tadahito Iguchi," ""CWS"""," ""Second Baseman""",69,185,32.24
MEC,Juan Uribe," ""CWS"""," ""Shortstop""",71,175,27.61
MEC,Alex Cintron," ""CWS"""," ""Shortstop""",74,199,28.2
MEC,Joe Crede," ""CWS"""," ""Third Baseman""",73,200,28.85
MEC,Josh Fields," ""CWS"""," ""Third Baseman""",73,215,24.21
MEC,Ryan Sweeney," ""CWS"""," ""Outfielder""",76,200,22.02
MEC,Brian N. Anderson," ""CWS"""," ""Outfielder""",74,205,24.97
MEC,Luis Terrero," ""CWS"""," ""Outfielder""",74,206,26.78
MEC,Pablo Ozuna," ""CWS"""," ""Outfielder""",70,186,32.51
MEC,Scott Podsednik," ""CWS"""," ""Outfielder""",72,188,30.95
MEC,Jermaine Dye," ""CWS"""," ""Outfielder""",77,220,33.09
MEC,Darin Erstad," ""CWS"""," ""Outfielder""",74,210,32.74
MEC,Rob Mackowiak," ""CWS"""," ""Outfielder""",70,195,30.69
MEC,Jim Thome," ""CWS"""," ""Designated Hitter""",76,244,36.51
MEC,Jerry Owens," ""CWS"""," ""Designated Hitter""",75,195,26.03
MEC,Charlie Haeger," ""CWS"""," ""Starting Pitcher""",73,200,23.45
MEC,Heath Phillips," ""CWS"""," ""Starting Pitcher""",75,200,24.94
MEC,Gavin Floyd," ""CWS"""," ""Starting Pitcher""",76,212,24.09
MEC,Jose Contreras," ""CWS"""," ""Starting Pitcher""",76,224,35.23
MEC,Jon Garland," ""CWS"""," ""Starting Pitcher""",78,210,27.43
MEC,Javier Vazquez," ""CWS"""," ""Starting Pitcher""",74,205,30.6
MEC,Mark Buehrle," ""CWS"""," ""Starting Pitcher""",74,220,27.94
MEC,Mike MacDougal," ""CWS"""," ""Relief Pitcher""",76,195,29.99
MEC,David Aardsma," ""CWS"""," ""Relief Pitcher""",77,200,25.17
MEC,Andrew Sisco," ""CWS"""," ""Relief Pitcher""",81,260,24.13
MEC,Matt Thornton," ""CWS"""," ""Relief Pitcher""",78,228,30.46
MEC,Bobby Jenks," ""CWS"""," ""Relief Pitcher""",75,270,25.96
MEC,Boone Logan," ""CWS"""," ""Relief Pitcher""",77,200,22.55
MEC,Sean Tracey," ""CWS"""," ""Relief Pitcher""",75,210,26.29
MEC,Nick Masset," ""CWS"""," ""Relief Pitcher""",76,190,24.79
MEC,Jose Molina," ""ANA"""," ""Catcher""",74,220,31.74
MEC,Jeff Mathis," ""ANA"""," ""Catcher""",72,180,23.92
MEC,Mike Napoli," ""ANA"""," ""Catcher""",72,205,25.33
