Career,Name," ""Team"""," ""Position"""," ""Height(inches)"""," ""Weight(lbs)"""," ""Age"""
TIC,Matt Guerrier," ""MIN"""," ""Relief Pitcher""",75,185,28.58
TIC,Joe Nathan," ""MIN"""," ""Relief Pitcher""",76,205,32.27
TIC,Dennys Reyes," ""MIN"""," ""Relief Pitcher""",75,245,29.86
TIC,Brayan Pe?a," ""ATL"""," ""Catcher""",71,220,25.14
TIC,Brian McCann," ""ATL"""," ""Catcher""",75,210,23.03
TIC,Craig Wilson," ""ATL"""," ""First Baseman""",74,220,30.25
TIC,Chris Woodward," ""ATL"""," ""Second Baseman""",72,185,30.67
TIC,Pete Orr," ""ATL"""," ""Second Baseman""",73,175,27.73
TIC,Martin Prado," ""ATL"""," ""Second Baseman""",73,170,23.34
TIC,Tony Pe?a," ""ATL"""," ""Shortstop""",73,180,25.94
TIC,Edgar Renteria," ""ATL"""," ""Shortstop""",73,200,31.56
TIC,Chipper Jones," ""ATL"""," ""Third Baseman""",76,210,34.85
TIC,Willy Aybar," ""ATL"""," ""Third Baseman""",72,175,23.98
TIC,Jeff Francoeur," ""ATL"""," ""Outfielder""",76,220,23.14
TIC,Matt Diaz," ""ATL"""," ""Outfielder""",73,206,28.99
TIC,Kelly Johnson," ""ATL"""," ""Outfielder""",73,180,25.02
TIC,Andruw Jones," ""ATL"""," ""Outfielder""",73,210,29.85
TIC,Ryan Langerhans," ""ATL"""," ""Outfielder""",75,195,27.03
TIC,Scott Thorman," ""ATL"""," ""Outfielder""",75,200,25.15
TIC,T.J. Bohn," ""ATL"""," ""Outfielder""",77,200,27.12
TIC,Tim Hudson," ""ATL"""," ""Starting Pitcher""",73,164,31.63
TIC,Jonathan Johnson," ""ATL"""," ""Starting Pitcher""",72,180,32.62
TIC,John Smoltz," ""ATL"""," ""Starting Pitcher""",75,220,39.79
TIC,Mike Hampton," ""ATL"""," ""Starting Pitcher""",70,195,34.47
TIC,Kyle Davies," ""ATL"""," ""Starting Pitcher""",74,205,23.47
TIC,Chuck James," ""ATL"""," ""Starting Pitcher""",72,170,25.31
TIC,Phil Stockman," ""ATL"""," ""Relief Pitcher""",80,240,27.1
TIC,Macay McBride," ""ATL"""," ""Relief Pitcher""",71,210,24.35
TIC,Joey Devine," ""ATL"""," ""Relief Pitcher""",71,195,23.45
TIC,Peter Moylan," ""ATL"""," ""Relief Pitcher""",74,200,28.24
TIC,Mike Gonzalez," ""ATL"""," ""Relief Pitcher""",74,205,28.77
TIC,Lance Cormier," ""ATL"""," ""Relief Pitcher""",73,192,26.53
TIC,Blaine Boyer," ""ATL"""," ""Relief Pitcher""",75,190,25.64
TIC,Manny Acosta," ""ATL"""," ""Relief Pitcher""",76,170,25.83
TIC,Bob Wickman," ""ATL"""," ""Relief Pitcher""",73,240,38.06
TIC,Tanyon Sturtze," ""ATL"""," ""Relief Pitcher""",77,200,36.38
