Career,Name," ""Height(inches)"""," ""Weight(lbs)"""," ""Age"""
TIC,Matt Guerrier,75,185,28.58
TIC,Joe Nathan,76,205,32.27
TIC,Dennys Reyes,75,245,29.86
TIC,Brayan Pe?a,71,220,25.14
TIC,Brian McCann,75,210,23.03
TIC,Craig Wilson,74,220,30.25
TIC,Chris Woodward,72,185,30.67
TIC,Pete Orr,73,175,27.73
TIC,Martin Prado,73,170,23.34
TIC,Tony Pe?a,73,180,25.94
TIC,Edgar Renteria,73,200,31.56
TIC,Chipper Jones,76,210,34.85
TIC,Willy Aybar,72,175,23.98
TIC,Jeff Francoeur,76,220,23.14
TIC,Matt Diaz,73,206,28.99
TIC,Kelly Johnson,73,180,25.02
TIC,Andruw Jones,73,210,29.85
TIC,Ryan Langerhans,75,195,27.03
TIC,Scott Thorman,75,200,25.15
TIC,T.J. Bohn,77,200,27.12
TIC,Tim Hudson,73,164,31.63
TIC,Jonathan Johnson,72,180,32.62
TIC,John Smoltz,75,220,39.79
TIC,Mike Hampton,70,195,34.47
TIC,Kyle Davies,74,205,23.47
TIC,Chuck James,72,170,25.31
TIC,Phil Stockman,80,240,27.1
TIC,Macay McBride,71,210,24.35
TIC,Joey Devine,71,195,23.45
TIC,Peter Moylan,74,200,28.24
TIC,Mike Gonzalez,74,205,28.77
TIC,Lance Cormier,73,192,26.53
TIC,Blaine Boyer,75,190,25.64
TIC,Manny Acosta,76,170,25.83
TIC,Bob Wickman,73,240,38.06
TIC,Tanyon Sturtze,77,200,36.38
TIC,Oscar Villarreal,72,205,25.27
TIC,Rafael Soriano,73,175,27.2
TIC,Chad Paronto,77,250,31.59
TIC,Tyler Yates,76,220,29.56
TIC,Henry Blanco,71,224,35.5
TIC,Michael Barrett,75,210,30.35
TIC,Geovany Soto,73,195,24.11
TIC,Scott Moore,74,180,23.29
TIC,Derrek Lee,77,245,31.48
TIC,Ryan Theriot,71,175,27.23
TIC,Ronny Cedeno,72,180,24.07
TIC,Aramis Ramirez,73,215,28.68
TIC,Cesar Izturis,69,175,27.05
TIC,Alfonso Soriano,73,180,31.15
TIC,Jacque Jones,70,195,31.85
TIC,Daryle Ward,74,230,31.68
TIC,Cliff Floyd,76,230,34.23
TIC,Mark DeRosa,73,205,32.01
TIC,Matt Murton,73,215,25.41
TIC,Buck Coats,75,195,24.73
TIC,Angel Pagan,73,180,25.66
TIC,Sean Marshall,79,205,24.5
TIC,Carlos Marmol,74,180,24.38
TIC,Ryan O'Malley,73,190,26.89
TIC,Juan Mateo,74,180,24.2
TIC,Rich Hill,77,190,26.97
TIC,Angel Guzman,75,190,25.21
TIC,Wade Miller,74,220,30.46
TIC,Jason Marquis,73,210,28.53
TIC,Carlos Zambrano,77,255,25.75
